Task Set,Task ID,Accepting visits
Reach Avoid Inifnite,RAI_1,10.76
Reach Avoid Inifnite,RAI_2,0.02
Reach Avoid Inifnite,RAI_3,485.04
Reach Avoid Inifnite,RAI_4,448.84
Reach Avoid Inifnite,RAI_5,467.26
Reach Avoid Inifnite,RAI_6,156.42
