Task Set,Task ID,Accepting visits
Reach Avoid Inifnite,RAI_1,12.52
Reach Avoid Inifnite,RAI_2,0.0
Reach Avoid Inifnite,RAI_3,483.78
Reach Avoid Inifnite,RAI_4,446.78
Reach Avoid Inifnite,RAI_5,406.68
Reach Avoid Inifnite,RAI_6,118.48
