,Deepsets (large avoid),Deepsets (15M),GCN (15M),Deepsets (formula),Deepsets (formula update),GCN (formula update),Deepsets (2M),GCN (2M),Transformer (formula update),GCN (formula update 2)
,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean
0,0.2646551724137931,0.2853448275862069,0.4146551724137931,0.5517241379310345,0.6163793103448276,0.6896551724137931,0.503448275862069,0.475,0.2560344827586207,0.7327586206896551
