,Deepsets (large avoid),Deepsets (15M),GCN (15M),Deepsets (formula)
,successes_mean,successes_mean,successes_mean,successes_mean
0,0.5187739463601533,0.4547892720306513,0.668199233716475,0.7348659003831417
