,Deepsets (large avoid),Deepsets (15M),GCN (15M),Deepsets (formula),Deepsets (formula update),GCN (formula update),Deepsets (2M),GCN (2M),Transformer (formula update),GCN (formula update 2)
,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean
1,0.9642633228840126,0.9059561128526646,0.8476489028213167,0.9510971786833856,0.9630094043887149,0.987460815047022,0.9266457680250784,0.9128526645768024,0.4388714733542319,0.987460815047022
2,0.7772413793103448,0.6444827586206897,0.7727586206896552,0.8762068965517241,0.8796551724137932,0.943103448275862,0.7968965517241379,0.7913793103448276,0.3641379310344828,0.9431034482758621
3,0.5187739463601533,0.4547892720306513,0.668199233716475,0.7348659003831417,0.7498084291187739,0.8651340996168583,0.6471264367816092,0.7091954022988506,0.3011494252873563,0.8651340996168583
4,0.2646551724137931,0.2853448275862069,0.4146551724137931,0.5517241379310345,0.6163793103448276,0.6896551724137931,0.503448275862069,0.475,0.2560344827586207,0.7327586206896551
5,0.1034482758620689,0.1083743842364532,0.3842364532019704,0.3694581280788177,0.4039408866995073,0.58128078817734,0.3793103448275862,0.5221674876847291,0.251231527093596,0.58128078817734
