,Deepsets (large avoid),Deepsets (15M),GCN (15M),Deepsets (formula),Deepsets (formula update),GCN (formula update),Deepsets (2M),GCN (2M)
,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean
0,0.9642633228840126,0.9059561128526646,0.8476489028213167,0.9510971786833856,0.9630094043887149,0.987460815047022,0.9266457680250784,0.9128526645768025
