,Deepsets (large avoid),Deepsets (15M),GCN (15M),Deepsets (formula),Deepsets (formula update),GCN (formula update),Deepsets (2M),GCN (2M),Transformer (formula update),GCN (formula update 2)
,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean
0,0.7772413793103448,0.6444827586206897,0.7727586206896552,0.8762068965517241,0.8796551724137932,0.943103448275862,0.7968965517241379,0.7913793103448276,0.3641379310344828,0.9431034482758621
