Task Set,Task ID,Successes x/29,Avg Steps,Avg Discounted Return
Reach,R_1,29,5.551724137931035,0.9128073542193011
Reach,R_2,29,4.206896551724138,0.9376135101837242
Reach,R_3,29,9.068965517241379,0.8508642491260721
Avoid 2,A2_1,27,5.0,0.8598604320032688
Avoid 2,A2_2,27,3.2962962962962963,0.8891890370206897
Avoid 2,A2_3,9,2.3333333333333335,0.30220552275862067
Avoid 2,A2_4,23,3.5217391304347827,0.7540696162206897
Avoid 2,A2_5,24,4.583333333333333,0.7704017653822244
Avoid 3,A3_1,21,3.4285714285714284,0.6897826921931034
Avoid 3,A3_2,20,4.75,0.640361994922993
Avoid 3,A3_3,25,3.32,0.8229410370206897
Avoid 3,A3_4,22,3.3636363636363638,0.7235757956413793
Avoid 4,A4_1,16,3.3125,0.5268731749517241
Avoid 4,A4_2,4,1.0,0.13793103448275862
Avoid 4,A4_3,27,2.2222222222222223,0.9086046951724138
Avoid 4,A4_4,18,3.0555555555555554,0.5958511279448276
Avoid 4,A4_5,22,2.1363636363636362,0.7416126896551725
Avoid 5,A4_1,22,3.227272727272727,0.7256571969103448
Avoid 5,A4_2,20,3.45,0.6566916796689656
Avoid 5,A4_3,20,2.85,0.6646154812689656
Avoid 5,A4_4,8,2.25,0.26906151724137933
Avoid 5,A4_5,2,1.0,0.06896551724137931
Avoid 5,A4_6,20,3.45,0.6566916796689656
Reach Avoid General,RA_1,29,3.5172413793103448,0.9508798396689655
Reach Avoid General,RA_2,29,1.6551724137931034,0.9870201379310345
Reach Avoid General,RA_3,25,2.96,0.8289978590896552
Reach Avoid General,RA_4,28,3.0357142857142856,0.9270789680551724
Reach Avoid General,RA_5,29,4.172413793103448,0.938314541248
Reach Avoid General,RA_6,25,3.32,0.8229410370206897
Reach Avoid General,RA_7,24,4.791666666666667,0.7671302750321434
Reach Avoid X and not Y,RXNY_1,16,3.4375,0.5254671004689654
Reach Avoid X and not Y,RXNY_2,4,1.5,0.13655172413793104
Reach Avoid X and not Y,RXNY_3,19,1.4736842105263157,0.6489931034482758
Reach Avoid X and not Y,RXNY_4,26,1.9230769230769231,0.8801511724137931
Reach Avoid X and not Y,RXNY_5,7,1.0,0.2413793103448276
