,Deepsets (large avoid),Deepsets (15M),GCN (15M),Deepsets (formula),Deepsets (formula update),GCN (formula update),Deepsets (2M),GCN (2M),GCN (quick update),Transformer (formula update),GCN (formula update 2)
,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean
0,0.8551724137931035,0.7217241379310345,0.789655172413793,0.8806896551724137,0.9086206896551724,0.8996551724137931,0.8058620689655173,0.8037931034482758,0.9248275862068964,0.5682758620689655,0.9241379310344828
