,Deepsets (large avoid),Deepsets (15M),GCN (15M),Deepsets (formula),Deepsets (formula update),GCN (formula update),Deepsets (2M),GCN (2M)
,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean
1,0.968025078369906,0.9479623824451412,0.8884012539184952,0.942319749216301,0.9692789968652038,0.9692789968652038,0.9253918495297806,0.9015673981191222
2,0.8551724137931035,0.7217241379310345,0.789655172413793,0.8806896551724137,0.9086206896551724,0.8996551724137931,0.8058620689655173,0.8037931034482758
3,0.6233716475095786,0.5053639846743295,0.6839080459770115,0.7337164750957854,0.8080459770114943,0.8045977011494252,0.6609195402298851,0.7015325670498085
4,0.3560344827586206,0.2887931034482758,0.4603448275862069,0.5612068965517241,0.6775862068965517,0.646551724137931,0.5293103448275862,0.4956896551724138
5,0.1724137931034483,0.0935960591133005,0.3891625615763547,0.3793103448275862,0.5369458128078818,0.5566502463054187,0.40394088669950734,0.5172413793103449
