,Deepsets (large avoid),Deepsets (15M),GCN (15M),Deepsets (formula),Deepsets (formula update),GCN (formula update),Deepsets (2M),GCN (2M),GCN (quick update),Transformer (formula update),GCN (formula update 2)
,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean
0,0.6233716475095786,0.5053639846743295,0.6839080459770115,0.7337164750957854,0.8080459770114943,0.8045977011494252,0.6609195402298851,0.7015325670498085,0.8452107279693487,0.4651340996168582,0.8452107279693487
