Task Set,Task ID,Successes,Avg Steps,Avg Discounted Return
Reach Avoid General,RA_1,50,69.7,0.2554578205720953
Reach Avoid General,RA_2,50,47.06,0.4084139330415647
Reach Avoid General,RA_3,46,58.97826086956522,0.2871401608927861
Reach Avoid General,RA_4,44,37.56818181818182,0.43400201275109296
Reach Avoid General,RA_5,50,34.06,0.546830997171352
