Task Set,Task ID,Accepting visits
Reach Avoid Inifnite,RAI_1,11.28
Reach Avoid Inifnite,RAI_2,5.86
Reach Avoid Inifnite,RAI_3,485.58
Reach Avoid Inifnite,RAI_4,442.36
Reach Avoid Inifnite,RAI_5,451.72
Reach Avoid Inifnite,RAI_6,13.3
