Task Set,Task ID,Successes,Avg Steps,Avg Discounted Return
Reach Avoid General,RA_1,50,69.8,0.25482741920510116
Reach Avoid General,RA_2,13,47.46153846153846,0.1033611209692549
Reach Avoid General,RA_3,47,61.8936170212766,0.2791982564158543
Reach Avoid General,RA_4,41,38.170731707317074,0.39782534386239826
Reach Avoid General,RA_5,38,31.342105263157894,0.44880572674236946
