Task Set,Task ID,Accepting visits
Reach Avoid Inifnite,RAI_1,12.62
Reach Avoid Inifnite,RAI_2,3.48
Reach Avoid Inifnite,RAI_3,485.4
Reach Avoid Inifnite,RAI_4,448.42
Reach Avoid Inifnite,RAI_5,429.8
Reach Avoid Inifnite,RAI_6,67.06
