Task Set,Task ID,Successes,Avg Steps,Avg Discounted Return
Reach Avoid General,RA_1,50,68.92,0.25974780930972585
Reach Avoid General,RA_2,50,42.88,0.44222864122087757
Reach Avoid General,RA_3,47,64.40425531914893,0.26604351585231484
Reach Avoid General,RA_4,45,37.77777777777778,0.4435268982535767
Reach Avoid General,RA_5,50,31.78,0.5801900006693953
