Task Set,Task ID,Successes,Avg Steps,Avg Discounted Return
Reach Avoid General,RA_1,50,69.3,0.25735050579690744
Reach Avoid General,RA_2,50,46.44,0.41016596579831943
Reach Avoid General,RA_3,49,64.51020408163265,0.2813674906883594
Reach Avoid General,RA_4,47,38.340425531914896,0.45723993344309055
Reach Avoid General,RA_5,50,30.64,0.5853181412452543
