Task Set,Task ID,Accepting visits
Reach Avoid Inifnite,RAI_1,12.64
Reach Avoid Inifnite,RAI_2,3.32
Reach Avoid Inifnite,RAI_3,485.4
Reach Avoid Inifnite,RAI_4,445.8
Reach Avoid Inifnite,RAI_5,457.78
Reach Avoid Inifnite,RAI_6,59.62
