Task Set,Task ID,Successes x/29,Avg Steps,Avg Discounted Return
Reach,R_1,29,3.3448275862068964,0.9539912055172415
Reach,R_2,29,4.689655172413793,0.9283668846344828
Reach,R_3,29,9.10344827586207,0.8497736484358678
Avoid 2,A2_1,27,4.2592592592592595,0.8727090974226556
Avoid 2,A2_2,29,3.0,0.9607768935724138
Avoid 2,A2_3,26,3.6153846153846154,0.8511384878697048
Avoid 2,A2_4,29,1.5172413793103448,0.9897376551724139
Avoid 2,A2_5,28,2.9285714285714284,0.9296531163865618
Avoid 2,A2_6,29,2.8620689655172415,0.9638378997163696
Avoid 3,A3_1,22,3.727272727272727,0.7187419439727687
Avoid 3,A3_2,9,1.5555555555555556,0.3069241379310345
Avoid 3,A3_3,23,3.4782608695652173,0.7549543135094732
Avoid 3,A3_4,26,3.4615384615384617,0.8539143577658721
Avoid 4,A4_1,28,2.9285714285714284,0.9296531163865618
Avoid 4,A4_2,28,3.142857142857143,0.9256384956969066
Avoid 4,A4_3,29,1.6551724137931034,0.9870333848275862
Avoid 4,A4_4,24,3.125,0.7937910474210444
Avoid 4,A4_5,26,1.4230769230769231,0.8890066206896552
Avoid 5,A5_1,24,3.5,0.787707461214148
Avoid 5,A5_2,22,3.727272727272727,0.7187419439727687
Avoid 5,A5_3,20,1.85,0.6780270344827587
Avoid 5,A5_4,18,3.3333333333333335,0.5926658525326133
Avoid 5,A5_5,21,3.7142857142857144,0.6862252166197857
Avoid 5,A5_6,22,3.727272727272727,0.7187419439727687
Reach Avoid General,RA_1,29,2.689655172413793,0.9666460689655172
Reach Avoid General,RA_2,21,3.619047619047619,0.6876117370762169
Reach Avoid General,RA_3,27,3.6296296296296298,0.883195529494069
Reach Avoid General,RA_4,29,2.689655172413793,0.9666460689655172
Reach Avoid General,RA_5,29,3.4827586206896552,0.9514316345423449
Reach Avoid General,RA_6,28,3.25,0.9234875991451825
Reach Avoid General,RA_7,20,4.7,0.6408864190927175
Reach Avoid X and not Y,RXNY_1,27,1.7777777777777777,0.9167023503448276
Reach Avoid X and not Y,RXNY_2,29,1.5862068965517242,0.9883172413793104
Reach Avoid X and not Y,RXNY_3,28,2.9285714285714284,0.9296531163865618
Reach Avoid X and not Y,RXNY_4,24,1.375,0.8214204137931036
Reach Avoid X and not Y,RXNY_5,24,3.125,0.7937910474210444
