,Deepsets (large avoid),Deepsets (15M),GCN (15M),Deepsets (formula),Deepsets (formula update),GCN (formula update),Deepsets (2M),GCN (2M),Transformer (formula update),GCN (formula update 2)
,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean
0,0.6120689655172413,0.5941379310344828,0.7648275862068965,0.7882758620689655,0.8417241379310345,0.9206896551724136,0.7168965517241379,0.8248275862068966,0.5393103448275862,0.9206896551724137
