,Deepsets (large avoid),Deepsets (15M),GCN (15M),Deepsets (formula),Deepsets (formula update),GCN (formula update),Deepsets (2M),GCN (2M),Transformer (formula update),GCN (formula update 2)
,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean
0,0.1970443349753694,0.2266009852216748,0.334975369458128,0.2807881773399014,0.4729064039408867,0.4827586206896552,0.354679802955665,0.5073891625615763,0.2807881773399014,0.4827586206896552
