,Deepsets (large avoid),Deepsets (15M),GCN (15M),Deepsets (formula),Deepsets (formula update),GCN (formula update),Deepsets (2M),GCN (2M),Transformer (formula update),GCN (formula update 2)
,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean
0,0.934796238244514,0.838871473354232,0.8313479623824451,0.8551724137931035,0.8777429467084639,0.9880877742946708,0.8332288401253919,0.9128526645768024,0.7278996865203762,0.9880877742946709
