,Deepsets (large avoid),Deepsets (15M),GCN (15M),Deepsets (formula)
,successes_mean,successes_mean,successes_mean,successes_mean
1,0.934796238244514,0.838871473354232,0.8313479623824451,0.8551724137931035
2,0.6120689655172413,0.5941379310344828,0.7648275862068965,0.7882758620689655
3,0.4042145593869731,0.4436781609195402,0.6340996168582376,0.6471264367816092
4,0.2724137931034482,0.3068965517241379,0.3974137931034482,0.48879310344827587
5,0.1970443349753694,0.2266009852216748,0.334975369458128,0.28078817733990147
