,Deepsets (large avoid),Deepsets (15M),GCN (15M),Deepsets (formula),Deepsets (formula update),GCN (formula update),Deepsets (2M),GCN (2M)
,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean
0,0.5130268199233716,0.5969348659003831,0.6900383141762453,0.7011494252873562,0.7701149425287356,0.7980842911877395,0.7337164750957854,0.714176245210728
