,Deepsets (large avoid),Deepsets (15M),GCN (15M),Deepsets (formula),Deepsets (formula update),GCN (formula update),Deepsets (2M),GCN (2M)
,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean
0,0.2463054187192118,0.1921182266009852,0.374384236453202,0.3004926108374384,0.4926108374384236,0.5714285714285715,0.4729064039408867,0.541871921182266
