,Deepsets (large avoid),Deepsets (15M),GCN (15M),Deepsets (formula),Deepsets (formula update),GCN (formula update),Deepsets (2M),GCN (2M)
,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean
0,0.8815047021943573,0.954858934169279,0.890282131661442,0.9310344827586208,0.9661442006269592,0.973667711598746,0.9479623824451411,0.9134796238244515
