,Deepsets (large avoid),Deepsets (15M),GCN (15M),Deepsets (formula)
,successes_mean,successes_mean,successes_mean,successes_mean
1,0.8815047021943573,0.954858934169279,0.890282131661442,0.9310344827586207
2,0.7037931034482758,0.8358620689655172,0.8151724137931035,0.8613793103448276
3,0.5130268199233716,0.5969348659003831,0.6900383141762453,0.7011494252873562
4,0.3405172413793103,0.3517241379310344,0.4732758620689655,0.5137931034482759
5,0.2463054187192118,0.1921182266009852,0.374384236453202,0.3004926108374384
