,Deepsets (large avoid),Deepsets (15M),GCN (15M),Deepsets (formula),Deepsets (formula update),GCN (formula update),Deepsets (2M),GCN (2M)
,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean
0,0.3405172413793103,0.3517241379310344,0.4732758620689655,0.5137931034482759,0.643103448275862,0.6413793103448276,0.6103448275862069,0.5448275862068965
