,Deepsets (large avoid),Deepsets (15M),GCN (15M),Deepsets (formula),Deepsets (formula update),GCN (formula update),Deepsets (2M),GCN (2M),Transformer (formula update),GCN (formula update 2)
,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean
0,0.7510344827586207,0.6741379310344828,0.7889655172413793,0.8606896551724138,0.8772413793103448,0.920344827586207,0.8093103448275861,0.8682758620689655,0.6382758620689656,0.920344827586207
