,Deepsets (large avoid),Deepsets (15M),GCN (15M),Deepsets (formula),Deepsets (formula update),GCN (formula update),Deepsets (2M),GCN (2M),Transformer (formula update),GCN (formula update 2)
,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean
0,0.9467084639498432,0.9266457680250784,0.8470219435736677,0.955485893416928,0.9661442006269592,0.9768025078369906,0.9228840125391848,0.9210031347962384,0.7366771159874608,0.9768025078369906
