,Deepsets (large avoid),Deepsets (15M),GCN (15M),Deepsets (formula),Deepsets (formula update),GCN (formula update),Deepsets (2M),GCN (2M)
,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean
0,0.2068965517241379,0.1083743842364532,0.3152709359605911,0.334975369458128,0.58128078817734,0.5862068965517241,0.4630541871921182,0.5615763546798029
