,Deepsets (large avoid),Deepsets (15M),GCN (15M),Deepsets (formula),Deepsets (formula update),GCN (formula update),Deepsets (2M),GCN (2M)
,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean,successes_mean
0,0.3999999999999999,0.2551724137931034,0.3948275862068965,0.5241379310344827,0.6370689655172415,0.6655172413793103,0.5560344827586207,0.5370689655172414
