,Deepsets (large avoid),Deepsets (15M),GCN (15M),Deepsets (formula)
,successes_mean,successes_mean,successes_mean,successes_mean
1,0.9467084639498432,0.9266457680250784,0.8470219435736677,0.9554858934169279
2,0.7510344827586207,0.6741379310344828,0.7889655172413793,0.8606896551724138
3,0.5440613026819924,0.4475095785440613,0.6524904214559386,0.7084291187739463
4,0.3999999999999999,0.2551724137931034,0.3948275862068965,0.5241379310344827
5,0.2068965517241379,0.1083743842364532,0.3152709359605911,0.33497536945812806
