Task Set,Task ID,Accepting visits
Reach Avoid Inifnite,RAI_1,12.38
Reach Avoid Inifnite,RAI_2,0.0
Reach Avoid Inifnite,RAI_3,485.86
Reach Avoid Inifnite,RAI_4,448.5
Reach Avoid Inifnite,RAI_5,128.42
Reach Avoid Inifnite,RAI_6,23.8
