Task Set,Task ID,Successes x/29,Avg Steps,Avg Discounted Return
Reach,R_1,29,3.8275862068965516,0.9446905324137932
Reach,R_2,29,4.827586206896552,0.9257964568275863
Reach,R_3,29,6.103448275862069,0.902604413436113
Avoid 2,A2_1,20,3.65,0.6540799104044138
Avoid 2,A2_2,29,2.8620689655172415,0.9632937931034483
Avoid 2,A2_3,21,3.7142857142857144,0.6859906351514483
Avoid 2,A2_4,29,1.6206896551724137,0.9877371034482759
Avoid 2,A2_5,26,3.230769230769231,0.8574911279448277
Avoid 2,A2_6,29,3.2413793103448274,0.9562608105931034
Avoid 3,A3_1,22,3.3636363636363638,0.7236158176
Avoid 3,A3_2,7,1.8571428571428572,0.2372551724137931
Avoid 3,A3_3,27,3.740740740740741,0.8813860960000001
Avoid 3,A3_4,23,3.3043478260869565,0.757408921048276
Avoid 4,A4_1,26,3.230769230769231,0.8574911279448277
Avoid 4,A4_2,27,3.1481481481481484,0.8919738865655173
Avoid 4,A4_3,29,1.6551724137931034,0.9869655172413794
Avoid 4,A4_4,27,3.111111111111111,0.8926224382896553
Avoid 4,A4_5,29,1.6206896551724137,0.9877371034482759
Avoid 5,A5_1,26,3.230769230769231,0.8574911279448277
Avoid 5,A5_2,24,3.4166666666666665,0.7885256107034484
Avoid 5,A5_3,22,2.5,0.736216855062069
Avoid 5,A5_4,8,2.375,0.2683583448275862
Avoid 5,A5_5,2,1.0,0.06896551724137931
Avoid 5,A5_6,24,3.4166666666666665,0.7885256107034484
Reach Avoid General,RA_1,29,2.8275862068965516,0.9639696551724138
Reach Avoid General,RA_2,25,3.4,0.8216428520827587
Reach Avoid General,RA_3,28,4.535714285714286,0.8994063023624386
Reach Avoid General,RA_4,29,2.8275862068965516,0.9639696551724138
Reach Avoid General,RA_5,29,3.413793103448276,0.9526265048275863
Reach Avoid General,RA_6,26,3.230769230769231,0.8574365072551725
Reach Avoid General,RA_7,27,4.222222222222222,0.872782684696276
Reach Avoid X and not Y,RXNY_1,28,1.6428571428571428,0.9531724137931036
Reach Avoid X and not Y,RXNY_2,28,1.5,0.9558896551724139
Reach Avoid X and not Y,RXNY_3,26,3.230769230769231,0.8574911279448277
Reach Avoid X and not Y,RXNY_4,28,1.6428571428571428,0.9532543448275862
Reach Avoid X and not Y,RXNY_5,26,3.269230769230769,0.8568014727724139
