Task Set,Task ID,Successes x/29,Avg Steps,Avg Discounted Return
Reach,R_1,29,4.275862068965517,0.9362625809677243
Reach,R_2,29,4.103448275862069,0.939469649324138
Reach,R_3,29,8.137931034482758,0.8659868192378717
Avoid 2,A2_1,17,4.9411764705882355,0.542050258649998
Avoid 2,A2_2,1,1.0,0.034482758620689655
Avoid 2,A2_3,2,1.5,0.06827586206896552
Avoid 2,A2_4,12,4.416666666666667,0.38656968607558617
Avoid 2,A2_5,25,4.0,0.8118321451232663
Avoid 3,A3_1,7,2.4285714285714284,0.23457875862068966
Avoid 3,A3_2,20,4.4,0.6446129624782123
Avoid 3,A3_3,16,3.6875,0.522817450813793
Avoid 3,A3_4,17,3.6470588235294117,0.5559744382896552
Avoid 4,A4_1,12,2.0,0.40558593103448276
Avoid 4,A4_2,19,2.8947368421052633,0.631023541737931
Avoid 4,A4_3,11,1.4545454545454546,0.37586206896551727
Avoid 4,A4_4,3,1.0,0.10344827586206896
Avoid 4,A4_5,18,2.111111111111111,0.6070612413793104
Avoid 5,A4_1,5,2.2,0.16833075862068964
Avoid 5,A4_2,12,4.416666666666667,0.38656968607558617
Avoid 5,A4_3,0,,0.0
Avoid 5,A4_4,3,2.0,0.10139310344827586
Avoid 5,A4_5,5,1.4,0.17103448275862068
Avoid 5,A4_6,8,2.25,0.26906151724137933
Reach Avoid General,RA_1,29,3.103448275862069,0.9586157351724138
Reach Avoid General,RA_2,16,2.25,0.538095724137931
Reach Avoid General,RA_3,19,2.3157894736842106,0.6381095172413793
Reach Avoid General,RA_4,25,3.24,0.8243733403586206
Reach Avoid General,RA_5,0,,0.0
Reach Avoid General,RA_6,10,3.1,0.33061848827586204
Reach Avoid General,RA_7,1,3.0,0.03311724137931034
Reach Avoid X and not Y,RXNY_1,27,3.6666666666666665,0.8827378201379312
Reach Avoid X and not Y,RXNY_2,29,6.103448275862069,0.9033561166572401
Reach Avoid X and not Y,RXNY_3,28,3.7857142857142856,0.9136471693747642
Reach Avoid X and not Y,RXNY_4,18,2.388888888888889,0.6036678620689656
Reach Avoid X and not Y,RXNY_5,0,,0.0
